episode,observation,action,reward,next_observation,done,step_duration,agent
1,"[ 0.47974783 -0.3030524  -0.5867342   0.68508446  0.20244645 -0.89648026
  0.6388698  -1.2118717  -0.17136826 -0.5895548  -0.51310587 -0.9204182
 -0.04594829  0.05903282  0.16529077  0.3067191 ]",2,10.0,"[ 0.14537571 -0.1839427  -0.7581024   0.09552965  0.3738147  -0.30692548
  0.8102381  -0.6223169   0.17136826  0.5895548  -0.3417376  -0.3308634
  0.12541997  0.64858764  0.16529077  0.3067191 ]",False,0.00030517578125,adversary_0
1,"[ 0.8407742  -0.541386   -0.5387594   0.6547792   0.15447167 -0.866175
  0.59089506 -1.1815665  -0.20480548 -0.5776438  -0.5696703  -0.86999243
 -0.077394    0.12000997 -0.58432746  0.626127  ]",2,0.0,"[ 0.10903179 -0.13795702 -0.74356484  0.07713538  0.35927713 -0.28853118
  0.79570055 -0.6039226   0.20480548  0.5776438  -0.36486483 -0.2923486
  0.12741147  0.6976538  -0.58432746  0.626127  ]",False,0.00029206275939941406,adversary_0
1,"[ 0.91655093 -0.39991796 -0.45468196  0.6006406   0.07039426 -0.8120364
  0.50681764 -1.1274278  -0.2779797  -0.53730094 -0.6601899  -0.7707634
 -0.21990417  0.23676127 -0.8382456   0.46959525]",0,0.0,"[ 0.08177384  0.19653223 -0.73266166  0.06333968  0.34837395 -0.27473548
  0.7847974  -0.59012693  0.2779797   0.53730094 -0.38221022 -0.23346248
  0.05807555  0.7740622  -0.8382456   0.46959525]",False,0.0002918243408203125,adversary_0
1,"[ 0.6874132  -0.29993847 -0.36302686  0.5606488  -0.02126084 -0.7720446
  0.41516253 -1.0874361  -0.3614574  -0.47765592 -0.75667673 -0.6669538
 -0.3953838   0.3237126  -0.2286842   0.35219646]",4,0.0,"[ 0.06133038 -0.15260082 -0.72448426  0.0829929   0.34019658 -0.2943887
  0.77662    -0.60978013  0.3614574   0.47765592 -0.3952193  -0.18929791
 -0.03392639  0.8013685  -0.2286842   0.35219646]",False,0.0003018379211425781,adversary_0
1,"[ 0.5155599   0.07504615 -0.29428557  0.53065497 -0.09000216 -0.74205077
  0.3464212  -1.0574422  -0.4240657  -0.46292216 -0.8290418  -0.55909663
 -0.48699355  0.3889261  -0.5715132   0.26414734]",1,0.0,"[ 0.34599778 -0.11445062 -0.71835124  0.06773282  0.33406353 -0.27912864
  0.77048695 -0.5945201   0.4240657   0.46292216 -0.4049761  -0.09617448
 -0.06292785  0.85184824 -0.5715132   0.26414734]",False,0.0002918243408203125,adversary_0
1,"[ 0.08666993  0.05628461 -0.24272956  0.5381596  -0.14155816 -0.7495554
  0.29486522 -1.0649469  -0.44102192 -0.4818718  -0.8833156  -0.5382037
 -0.59570086  0.4078362  -0.42863485 -0.2018895 ]",1,0.0,"[ 0.25949833 -0.38583797 -0.68375146  0.05628776  0.29946375 -0.26768357
  0.73588717 -0.583075    0.44102192  0.4818718  -0.4422937  -0.0563319
 -0.15467894  0.88970804 -0.42863485 -0.2018895 ]",False,0.0004611015319824219,adversary_0
1,"[-0.23499756  0.04221346 -0.23406257  0.5437881  -0.15022515 -0.7551839
  0.28619823 -1.0705754  -0.42373908 -0.52608407 -0.92402095 -0.5225341
 -0.64723134  0.38201877 -0.32147613 -0.5514171 ]",4,0.0,"[ 0.19462375 -0.28937846 -0.6578016   0.01770396  0.27351394 -0.22909977
  0.70993733 -0.54449123  0.42373908  0.52608407 -0.5002819   0.00355003
 -0.22349226  0.90810287 -0.32147613 -0.5514171 ]",False,0.00043487548828125,adversary_0
1,"[-0.17624816  0.3316601  -0.2575623   0.5480094  -0.12672539 -0.7594052
  0.309698   -1.0747967  -0.38077694 -0.55924326 -0.92455    -0.4807818
 -0.6558792   0.32265574  0.15889288 -0.41356283]",0,0.0,"[ 0.44596782 -0.21703386 -0.6383393  -0.01123389  0.25405157 -0.20016192
  0.6904749  -0.51555336  0.38077694  0.55924326 -0.54377306  0.07846148
 -0.27510226  0.881899    0.15889288 -0.41356283]",False,0.00029277801513671875,adversary_0
1,"[-0.13218613  0.24874507 -0.27518713  0.5811754  -0.10910057 -0.7925712
  0.3273228  -1.1079626  -0.31855536 -0.6141127  -0.9249467  -0.5094676
 -0.6223651   0.24813344  0.11916967 -0.31017214]",3,0.0,"[ 0.33447587 -0.1627754  -0.5937425  -0.03293727  0.20945477 -0.17845854
  0.64587814 -0.49385     0.31855536  0.6141127  -0.6063914   0.10464507
 -0.30380976  0.8622461   0.11916967 -0.31017214]",False,0.0002849102020263672,adversary_0
1,"[-0.09913959 -0.1134412  -0.28840575  0.6060499  -0.09588196 -0.8174457
  0.34054142 -1.1328372  -0.27188915 -0.65526474 -0.9552443  -0.53098196
 -0.59722954  0.19224171  0.48937726 -0.2326291 ]",3,0.0,"[-0.05379827 -0.11811528 -0.5602949  -0.04921481  0.17600718 -0.162181
  0.6124306  -0.47757244  0.27188915  0.65526474 -0.68335515  0.12428275
 -0.32534036  0.8475064   0.48937726 -0.2326291 ]",False,0.00030493736267089844,adversary_0
